Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
43321,9.76753,-4.573574,6.826951,-2.401656,-8.388853,1.212435,0.097318,4.514222,-0.892099,-2.666233,-4.790656,7.376724,1.186035,-7.992273,-1.515237,-1.045243,-8.301111,1.631876,-3.78387,0.221299,-4.744409,-1.12632,-4.576239,-4.348134,-3.881679,6.569802,-7.878992,-5.811399,842.12,0
172148,-0.631788,6.358071,8.220026,2.426863,-7.407669,8.790276,-1.780405,-3.842651,8.170267,-6.668315,3.53213,9.33712,0.939607,4.894333,-4.539964,-9.205233,-6.643523,-1.220575,-0.71678,0.864325,4.915412,5.639642,-3.299823,4.280817,8.970285,-1.824629,-2.366739,-1.632982,383.28,1
5863,-4.453044,-7.71998,-9.811195,0.737756,3.996311,9.312929,0.901998,2.451428,9.293341,9.199501,1.469237,-9.418827,2.406416,-0.781711,-9.472286,-5.203493,-9.938481,5.3353,-1.32467,-8.084554,-4.5483,-1.363493,-9.844967,7.497301,7.006618,-2.271261,-6.424152,0.395204,44.05,0
30568,-5.583537,-0.382531,0.387046,-7.192507,0.612467,6.20738,-2.641944,8.802954,9.070792,8.056539,-4.797618,3.056252,0.402903,-5.378945,8.320463,7.680434,9.073497,2.2819,1.358346,5.7973,-8.575334,0.063537,2.484532,4.959657,-9.802747,-8.328585,-7.903929,-0.056791,653.03,0
139406,3.46016,-4.143458,7.543595,2.480007,-1.647279,4.769352,-6.098532,-0.203106,5.772134,1.8421,-2.113393,9.303669,8.852783,-4.805635,7.973591,9.433995,7.744184,8.296345,-1.329951,5.577197,-6.186479,-6.059317,-6.489427,-8.535195,-2.26935,3.50225,-5.751722,8.509147,565.47,1
116948,-1.588721,-4.426112,-3.957717,0.960467,9.841241,8.86312,-0.904039,-6.511477,-7.052817,0.122425,0.699183,8.796742,-0.369743,-3.179272,-5.770173,-4.467952,6.066753,6.075034,-7.56558,4.989525,3.065242,3.664572,-3.329408,-5.022478,9.102901,3.978107,-9.531212,-5.045319,719.42,1
43265,3.145815,5.940824,7.439909,-9.249674,0.807448,-6.133282,-1.543121,-5.840911,-7.050214,-7.19507,2.286579,3.891721,2.344672,-9.887535,-6.318402,-7.273694,7.215526,-4.907568,-1.449367,-8.474063,6.493718,7.156039,-2.932996,-9.125589,2.50734,-1.802027,7.621402,4.051294,822.01,1
102610,5.105143,2.088395,-6.493639,7.865012,4.444015,7.536144,5.926227,-5.260021,4.788298,0.749966,-6.715093,-1.631044,-7.966224,3.587487,0.636185,1.971252,-9.308606,-0.405854,-6.371214,-1.238062,-8.215389,-3.766518,-5.932614,2.417667,-4.285015,4.659539,3.587861,3.101871,569.48,0
17551,-1.848944,6.828875,-9.248896,2.370187,4.475281,-6.439134,-6.355822,-0.839127,-8.866901,-2.016277,2.051179,-5.743223,7.863326,1.384213,9.288221,-8.100861,8.987587,6.770108,9.353975,-7.1974,-7.158659,-7.403187,-0.504982,6.44382,0.62199,3.772722,6.234429,-9.171421,411.27,1
59551,1.245054,5.341849,9.019468,-9.883704,-8.002984,-3.970312,-0.705405,-7.347472,8.009671,4.480609,-1.20467,-4.778639,-7.3853,7.567393,6.798452,-0.680606,4.174511,-2.225781,0.541246,1.454384,0.963317,-8.645067,1.723566,2.766014,3.286835,0.270499,-6.462842,-4.305982,547.46,1
12252,8.18288,3.975451,5.383542,-6.20138,-7.047699,8.785143,9.189459,-7.405499,-7.095649,0.913085,6.686864,-7.015312,1.431002,8.68073,-0.274057,-3.099208,2.067872,7.7762,-1.180284,-5.794769,3.616262,-3.899528,5.382852,0.938875,-6.816026,8.907166,-2.655718,6.57331,865.53,1
29896,-9.812282,5.971484,8.034945,-1.094856,2.243546,-3.299201,-7.774019,4.838882,2.913561,-3.834928,6.922863,-6.449695,2.822256,2.499265,-8.474897,2.946607,-5.728601,-4.7149,2.784175,-6.591622,-7.557719,4.521301,-2.700236,-9.637229,5.899264,4.806894,5.367934,2.304427,767.77,1
34489,8.569485,-8.281222,-5.230442,4.875895,6.276228,8.467754,-9.77978,-1.83699,8.412243,5.656529,-9.228465,-2.892152,8.595299,-7.111217,-8.846404,-6.342119,0.369169,9.708781,4.71269,8.041651,5.565472,-7.582748,-4.13935,-1.442438,6.091017,-6.18663,-4.065628,-4.689201,526.26,1
