employee_id,hours_worked,tasks_completed,department
E0001,42,15,Development
E0002,34,7,HR
E0003,36,24,HR
E0004,37,12,HR
E0005,37,18,Marketing
E0006,44,24,Sales
E0007,45,24,Sales
E0008,44,12,Sales
E0009,47,6,Development
E0010,39,9,Development
E0011,49,8,Marketing
E0012,48,14,HR
E0013,31,24,Marketing
E0014,43,20,Development
E0015,48,7,Sales
E0016,37,21,HR
E0017,45,15,Sales
E0018,41,13,Sales
E0019,33,10,HR
E0020,48,19,Sales
E0021,30,17,Development
E0022,39,5,Sales
E0023,36,9,HR
E0024,38,15,Sales
E0025,30,12,Development
E0026,34,14,Marketing
E0027,43,24,HR
E0028,44,17,Marketing
E0029,44,11,Marketing
E0030,30,14,Development
E0031,50,9,HR
E0032,42,25,Development
E0033,45,18,HR
E0034,33,14,Sales
E0035,33,11,Sales
E0036,37,11,HR
E0037,39,20,Development
E0038,38,19,Development
E0039,49,12,Development
E0040,46,24,Marketing
E0041,34,12,HR
E0042,50,17,HR
E0043,41,5,Sales
E0044,39,8,Sales
E0045,47,5,Sales
E0046,37,17,Marketing
E0047,34,13,Marketing
E0048,43,11,Development
E0049,37,12,Sales
E0050,49,25,Marketing
E0051,45,16,Marketing
E0052,47,23,HR
E0053,34,23,Marketing
E0054,37,7,HR
E0055,37,5,Sales
E0056,38,16,HR
E0057,44,8,HR
E0058,33,5,Sales
E0059,39,15,HR
E0060,30,13,HR
E0061,44,12,Sales
E0062,43,9,Marketing
E0063,37,5,Development
E0064,49,24,Marketing
E0065,49,23,Marketing
E0066,35,20,Marketing
E0067,34,7,Development
E0068,42,23,Development
E0069,44,17,HR
E0070,38,23,HR
E0071,38,9,Sales
E0072,39,19,HR
E0073,49,22,Marketing
E0074,47,20,Marketing
E0075,36,9,HR
E0076,33,6,HR
E0077,41,20,Development
E0078,37,25,Sales
E0079,34,24,Marketing
E0080,37,9,Marketing
E0081,41,22,HR
E0082,47,10,HR
E0083,30,6,Sales
E0084,37,20,Development
E0085,34,7,Marketing
E0086,38,8,HR
E0087,48,12,Sales
E0088,38,14,HR
E0089,46,17,HR
E0090,30,7,Development
E0091,38,7,Marketing
E0092,39,13,Sales
E0093,42,19,Marketing
E0094,44,8,Sales
E0095,42,24,Development
E0096,32,10,Development
E0097,45,17,HR
E0098,41,11,Development
E0099,34,18,Marketing
E0100,33,5,Marketing
E0101,39,15,Sales
E0102,47,9,HR
E0103,42,17,Development
E0104,45,20,Sales
E0105,38,18,Development
E0106,47,23,HR
E0107,44,8,Marketing
E0108,46,9,Sales
E0109,44,14,HR
E0110,31,14,Sales
E0111,42,6,Marketing
E0112,37,18,Marketing
E0113,35,13,Marketing
E0114,32,24,Development
E0115,44,15,HR
E0116,33,13,Development
E0117,43,9,Marketing
E0118,35,7,Sales
E0119,44,12,Development
E0120,41,9,Marketing
E0121,47,21,Development
E0122,35,20,Sales
E0123,34,15,HR
E0124,42,18,HR
E0125,34,18,HR
E0126,36,23,Sales
E0127,39,16,HR
E0128,35,18,HR
E0129,36,5,HR
E0130,47,14,Development
E0131,30,9,HR
E0132,41,18,Marketing
E0133,34,13,HR
E0134,48,21,Sales
E0135,44,13,Sales
E0136,49,18,HR
E0137,30,8,HR
E0138,47,11,Marketing
E0139,45,11,HR
E0140,40,15,Sales
E0141,42,23,Development
E0142,43,17,Development
E0143,33,25,Development
E0144,36,13,Sales
E0145,35,12,Development
E0146,31,23,HR
E0147,43,7,Development
E0148,36,15,Sales
E0149,39,9,Development
E0150,41,15,Development
E0151,39,22,HR
E0152,35,19,HR
E0153,45,9,Marketing
E0154,36,7,Development
E0155,49,12,Marketing
E0156,31,14,HR
E0157,43,8,Sales
E0158,30,20,Development
E0159,44,18,Sales
E0160,37,22,Sales
E0161,34,23,Sales
E0162,36,24,Development
E0163,37,9,Development
E0164,38,11,HR
E0165,32,19,HR
E0166,34,22,Development
E0167,34,16,HR
E0168,35,16,Development
E0169,41,7,HR
E0170,34,21,HR
E0171,46,20,HR
E0172,41,7,Sales
E0173,36,5,Sales
E0174,43,20,Sales
E0175,47,6,Marketing
E0176,43,5,Sales
E0177,33,6,Development
E0178,50,16,Marketing
E0179,37,16,HR
E0180,34,20,Sales
E0181,36,6,Marketing
E0182,46,6,Sales
E0183,32,14,Development
E0184,30,22,Sales
E0185,34,15,Development
E0186,39,19,HR
E0187,34,21,Development
E0188,43,20,Sales
E0189,45,9,Development
E0190,50,7,Sales
E0191,30,7,HR
E0192,40,11,HR
E0193,40,11,Sales
E0194,45,23,Marketing
E0195,38,17,Marketing
E0196,45,18,Marketing
E0197,49,19,HR
E0198,34,21,Development
E0199,33,13,Sales
E0200,37,19,Sales
E0201,47,23,Marketing
E0202,43,8,Development
E0203,32,5,HR
E0204,37,12,Marketing
E0205,49,21,Sales
E0206,39,10,Marketing
E0207,39,23,Marketing
E0208,49,5,HR
E0209,32,19,Development
E0210,44,17,Marketing
E0211,45,9,Development
E0212,46,23,Marketing
E0213,31,5,HR
E0214,33,21,Development
E0215,44,5,Development
E0216,44,17,HR
E0217,32,8,Development
E0218,38,10,Sales
E0219,30,16,Sales
E0220,38,6,HR
E0221,40,10,Marketing
E0222,41,8,Sales
E0223,33,16,Sales
E0224,47,14,HR
E0225,47,12,Development
E0226,30,14,Development
E0227,30,17,Development
E0228,47,16,Marketing
E0229,47,12,Marketing
E0230,36,16,HR
E0231,36,22,Marketing
E0232,38,12,Marketing
E0233,36,15,Sales
E0234,48,16,Marketing
E0235,31,21,Sales
E0236,45,16,Marketing
E0237,34,24,Marketing
E0238,39,20,Sales
E0239,42,9,Marketing
E0240,44,24,Development
E0241,40,21,HR
E0242,39,25,Marketing
E0243,43,5,Sales
E0244,45,9,Marketing
E0245,37,7,Sales
E0246,44,10,Sales
E0247,45,13,Marketing
E0248,50,15,Marketing
E0249,42,17,Marketing
E0250,30,23,Development
E0251,47,20,Development
E0252,30,17,Development
E0253,50,14,Sales
E0254,47,8,Development
E0255,36,21,HR
E0256,31,24,Sales
E0257,31,5,HR
E0258,36,16,Sales
E0259,30,16,Marketing
E0260,42,14,Development
E0261,34,24,Development
E0262,50,14,Sales
E0263,33,15,Marketing
E0264,32,22,Sales
E0265,43,5,Marketing
E0266,35,23,Sales
E0267,39,5,Sales
E0268,44,17,Sales
E0269,38,13,Development
E0270,49,11,Sales
E0271,38,11,Development
E0272,33,21,Sales
E0273,42,8,Marketing
E0274,42,18,Development
E0275,30,10,HR
E0276,46,18,HR
E0277,45,18,Development
E0278,30,7,Development
E0279,40,19,Sales
E0280,30,12,Development
E0281,37,13,Development
E0282,34,19,HR
E0283,44,19,HR
E0284,30,10,Marketing
E0285,36,21,Development
E0286,31,24,Marketing
E0287,40,13,HR
E0288,32,14,Sales
E0289,40,25,HR
E0290,50,21,Development
E0291,34,20,HR
E0292,37,6,Sales
E0293,41,21,Development
E0294,50,25,Marketing
E0295,38,13,Development
E0296,30,5,Sales
E0297,43,9,Development
E0298,38,8,HR
E0299,43,18,Development
E0300,33,12,Development
E0301,47,8,HR
E0302,41,14,Sales
E0303,39,5,Marketing
E0304,50,5,Marketing
E0305,30,24,Development
E0306,44,21,Sales
E0307,35,5,Marketing
E0308,35,17,HR
E0309,32,18,Sales
E0310,50,15,Development
E0311,36,24,HR
E0312,31,16,Marketing
E0313,38,6,Sales
E0314,49,13,Sales
E0315,36,7,Marketing
E0316,36,19,Sales
E0317,39,7,Marketing
E0318,31,8,HR
E0319,33,15,Sales
E0320,45,25,Marketing
E0321,47,21,Sales
E0322,37,24,Marketing
E0323,35,25,Sales
E0324,37,11,Development
E0325,46,10,Marketing
E0326,49,6,HR
E0327,49,11,Sales
E0328,44,17,Development
E0329,43,8,Development
E0330,40,23,Development
E0331,37,18,HR
E0332,37,21,Marketing
E0333,44,22,Marketing
E0334,37,12,Development
E0335,39,20,HR
E0336,32,6,Development
E0337,45,7,Marketing
E0338,33,8,Marketing
E0339,32,16,HR
E0340,33,16,HR
E0341,39,11,Marketing
E0342,34,5,Marketing
E0343,32,19,Sales
E0344,32,25,Development
E0345,46,11,Development
E0346,36,19,Marketing
E0347,31,17,Sales
E0348,36,19,Development
E0349,37,18,Sales
E0350,47,8,Marketing
E0351,45,20,Development
E0352,38,25,HR
E0353,39,23,Marketing
E0354,36,17,Marketing
E0355,40,9,Sales
E0356,31,11,Sales
E0357,35,21,HR
E0358,38,25,Marketing
E0359,38,8,HR
E0360,49,16,Sales
E0361,39,21,HR
E0362,36,7,Development
E0363,30,21,HR
E0364,46,7,Marketing
E0365,48,12,HR
E0366,30,21,Marketing
E0367,46,21,Sales
E0368,49,12,HR
E0369,46,17,Sales
E0370,37,9,Development
E0371,49,8,HR
E0372,32,24,Marketing
E0373,42,20,Marketing
E0374,30,15,HR
E0375,31,6,Marketing
E0376,34,25,Development
E0377,46,11,Marketing
E0378,33,9,HR
E0379,40,7,HR
E0380,49,7,HR
E0381,32,25,Sales
E0382,33,19,Marketing
E0383,30,22,HR
E0384,39,25,HR
E0385,32,21,Development
E0386,36,9,Marketing
E0387,39,22,Marketing
E0388,39,17,Marketing
E0389,33,24,Development
E0390,45,24,Marketing
E0391,44,9,Development
E0392,47,16,Development
E0393,45,19,Sales
E0394,47,21,Development
E0395,32,11,HR
E0396,30,24,HR
E0397,49,23,Development
E0398,40,7,HR
E0399,33,11,Marketing
E0400,35,20,Sales
E0401,36,21,Sales
E0402,35,17,Marketing
E0403,38,8,HR
E0404,40,17,HR
E0405,50,15,HR
E0406,38,8,Sales
E0407,30,16,HR
E0408,41,24,HR
E0409,46,21,Development
E0410,36,9,Sales
E0411,49,15,HR
E0412,31,25,Marketing
E0413,47,18,HR
E0414,40,19,Marketing
E0415,38,16,Sales
E0416,41,19,Sales
E0417,44,17,Development
E0418,50,18,Marketing
E0419,33,17,Marketing
E0420,48,19,Sales
E0421,41,6,Sales
E0422,41,25,HR
E0423,42,12,Development
E0424,46,18,HR
E0425,31,11,Development
E0426,33,16,Sales
E0427,30,16,HR
E0428,48,21,HR
E0429,33,21,HR
E0430,41,25,Sales
E0431,48,14,Sales
E0432,32,23,Development
E0433,38,23,Development
E0434,41,11,HR
E0435,30,13,Marketing
E0436,45,10,Sales
E0437,42,11,Development
E0438,42,12,Development
E0439,42,24,Marketing
E0440,38,13,Marketing
E0441,45,7,HR
E0442,50,6,Marketing
E0443,37,13,Marketing
E0444,40,9,HR
E0445,42,22,Marketing
E0446,36,6,HR
E0447,33,16,HR
E0448,49,21,HR
E0449,37,10,Development
E0450,41,13,HR
E0451,47,17,Marketing
E0452,30,14,Development
E0453,50,22,HR
E0454,50,12,Marketing
E0455,44,7,Sales
E0456,47,14,HR
E0457,35,14,HR
E0458,48,12,Development
E0459,36,20,HR
E0460,41,11,Development
E0461,36,18,HR
E0462,49,6,Development
E0463,43,6,Marketing
E0464,38,17,Sales
E0465,33,20,Sales
E0466,50,15,Sales
E0467,46,22,HR
E0468,39,10,Sales
E0469,37,22,Sales
E0470,46,17,Development
E0471,30,25,Development
E0472,46,25,Marketing
E0473,34,20,Sales
E0474,34,14,Sales
E0475,38,7,Marketing
E0476,43,6,Development
E0477,47,11,HR
E0478,44,11,HR
E0479,37,13,Development
E0480,34,17,Development
E0481,38,6,HR
E0482,48,15,Development
E0483,30,10,HR
E0484,39,11,Marketing
E0485,39,5,Marketing
E0486,47,21,Development
E0487,32,18,Sales
E0488,34,13,Marketing
E0489,35,25,Development
E0490,49,8,Development
E0491,49,6,Development
E0492,31,16,Marketing
E0493,36,23,Marketing
E0494,43,6,HR
E0495,30,22,Sales
E0496,36,14,Sales
E0497,45,5,Marketing
E0498,44,5,HR
E0499,49,11,Development
E0500,42,25,Marketing
E0501,31,8,HR
E0502,33,24,HR
E0503,50,20,Marketing
E0504,44,23,Marketing
E0505,44,10,HR
E0506,47,12,Marketing
E0507,42,20,Sales
E0508,38,19,Marketing
E0509,49,24,Marketing
E0510,44,13,HR
E0511,47,18,Marketing
E0512,39,19,Sales
E0513,44,19,Development
E0514,36,16,HR
E0515,44,11,HR
E0516,43,25,Marketing
E0517,39,15,HR
E0518,33,9,Sales
E0519,40,8,Sales
E0520,37,15,Development
E0521,39,23,Marketing
E0522,31,14,HR
E0523,35,10,Marketing
E0524,37,10,Sales
E0525,40,19,Marketing
E0526,37,11,Sales
E0527,49,12,Marketing
E0528,49,23,Development
E0529,45,18,Sales
E0530,37,21,Sales
E0531,50,25,HR
E0532,45,19,HR
E0533,48,8,Sales
E0534,36,17,Marketing
E0535,50,16,Marketing
E0536,40,18,Sales
E0537,30,24,Sales
E0538,48,7,HR
E0539,37,19,Development
E0540,48,11,Development
E0541,30,5,Marketing
E0542,39,23,HR
E0543,43,10,Sales
E0544,42,11,Sales
E0545,49,24,Marketing
E0546,41,7,HR
E0547,36,25,HR
E0548,41,9,Development
E0549,31,23,Development
E0550,38,13,Development
E0551,37,23,Marketing
E0552,47,10,Marketing
E0553,43,21,Sales
E0554,37,11,HR
E0555,40,11,Sales
E0556,49,16,HR
E0557,30,6,Development
E0558,44,7,Development
E0559,48,21,HR
E0560,39,24,Sales
E0561,47,23,Marketing
E0562,35,12,Marketing
E0563,33,9,Marketing
E0564,39,9,Sales
